time	V(vc_vo)
4.731503794659056e-002	1.065298e+001
4.739503794659056e-002	1.300961e+001
4.747503794659055e-002	1.565306e+001
4.754652563628081e-002	1.800992e+001
4.757319616770758e-002	1.869768e+001
4.759110125061855e-002	1.898549e+001
4.759919459887002e-002	1.907313e+001
4.760973102518290e-002	1.916470e+001
4.761960784038805e-002	1.923739e+001
4.763166893313234e-002	1.931153e+001
4.764571846858406e-002	1.938275e+001
4.766520392318049e-002	1.946275e+001
4.768588132080540e-002	1.952995e+001
4.771696367722039e-002	1.960778e+001
4.774896086107147e-002	1.966354e+001
4.778846643960727e-002	1.968806e+001
4.783253254110007e-002	1.963685e+001
4.789132985634251e-002	1.942658e+001
4.795706106008615e-002	1.899845e+001
4.803706106008615e-002	1.822040e+001
4.811706106008615e-002	1.719266e+001
4.819706106008614e-002	1.594318e+001
4.827706106008614e-002	1.452450e+001
4.835706106008614e-002	1.299955e+001
4.843706106008613e-002	1.144075e+001
4.851706106008613e-002	9.928310e+000
4.859706106008613e-002	8.547474e+000
4.867706106008612e-002	7.385084e+000
4.875706106008612e-002	6.525289e+000
4.883706106008612e-002	6.044748e+000
4.891706106008611e-002	6.007707e+000
4.899706106008611e-002	6.461333e+000
4.907706106008611e-002	7.431574e+000
4.915706106008611e-002	8.919338e+000
4.923706106008610e-002	1.089598e+001
4.931706106008610e-002	1.329263e+001
4.939706106008610e-002	1.596452e+001
4.945429628783846e-002	1.787330e+001
4.948235639431006e-002	1.861250e+001
4.950714744547385e-002	1.902264e+001
4.951425314148902e-002	1.909867e+001
4.952495430510462e-002	1.918669e+001
4.953481893037168e-002	1.925561e+001
4.954828943032910e-002	1.933381e+001
4.956351348935140e-002	1.940611e+001
4.958500946244102e-002	1.948764e+001
4.960870362100991e-002	1.955796e+001
4.964215257973081e-002	1.963200e+001
4.967894233504711e-002	1.967835e+001
4.972642125841426e-002	1.966813e+001
4.977489227218718e-002	1.955177e+001
4.983974500154900e-002	1.921966e+001
4.990930859650936e-002	1.865104e+001
4.998930859650935e-002	1.774259e+001
5.006930859650938e-002	1.659981e+001
5.014930859650940e-002	1.526001e+001
5.022930859650943e-002	1.378079e+001
5.030930859650945e-002	1.222994e+001
5.038930859650947e-002	1.068402e+001
5.046930859650950e-002	9.226101e+000
5.054930859650952e-002	7.942666e+000
5.062930859650955e-002	6.919785e+000
5.070930859650957e-002	6.238515e+000
5.078930859650960e-002	5.969974e+000
5.086930859650962e-002	6.170503e+000
5.094930859650965e-002	6.877271e+000
5.102930859650967e-002	8.104337e+000
5.110930859650970e-002	9.838712e+000
5.118930859650972e-002	1.203384e+001
5.126930859650974e-002	1.458856e+001
5.134930859650977e-002	1.731503e+001
5.138135309295899e-002	1.831942e+001
5.140085816912787e-002	1.877509e+001
5.140940295960550e-002	1.890689e+001
5.141953794721149e-002	1.902258e+001
5.142990020718330e-002	1.912197e+001
5.143935870334360e-002	1.919806e+001
5.145032915795522e-002	1.927224e+001
5.146266706765645e-002	1.934164e+001
5.148048280032841e-002	1.942396e+001
5.149730061362556e-002	1.948628e+001
5.152577632390731e-002	1.956912e+001
5.155334877781076e-002	1.962938e+001
5.159455203243540e-002	1.968208e+001
5.163434320859778e-002	1.966985e+001
5.169816504873082e-002	1.949039e+001
5.177816504873084e-002	1.902032e+001
5.185381415486973e-002	1.831739e+001
5.193381415486975e-002	1.731127e+001
5.201381415486978e-002	1.608227e+001
5.209381415486980e-002	1.467794e+001
5.217381415486982e-002	1.316013e+001
5.225381415486985e-002	1.160042e+001
5.233381415486987e-002	1.007834e+001
5.241381415486990e-002	8.678824e+000
5.249381415486992e-002	7.488782e+000
5.257381415486995e-002	6.592924e+000
5.265381415486997e-002	6.068982e+000
5.273381415487000e-002	5.982774e+000
5.281381415487002e-002	6.383502e+000
5.289381415487005e-002	7.299542e+000
5.297381415487007e-002	8.734625e+000
5.305381415487009e-002	1.066349e+001
5.313381415487012e-002	1.302239e+001
5.321381415487014e-002	1.565126e+001
5.329381415487017e-002	1.816751e+001
5.332737308877616e-002	1.891538e+001
5.334381199937294e-002	1.911618e+001
5.335897235672182e-002	1.923540e+001
5.337572511388822e-002	1.933725e+001
5.339111974309718e-002	1.940986e+001
5.341842888870263e-002	1.950906e+001
5.344498226780287e-002	1.958109e+001
5.349252726470199e-002	1.966269e+001
5.353914864272480e-002	1.966138e+001
5.361914864272482e-002	1.944085e+001
5.369914864272485e-002	1.895164e+001
5.377914864272487e-002	1.817247e+001
5.385914864272490e-002	1.713165e+001
5.393914864272492e-002	1.587127e+001
5.401914864272495e-002	1.444451e+001
5.409914864272497e-002	1.291485e+001
5.417914864272500e-002	1.135527e+001
5.425914864272502e-002	9.846390e+000
5.433914864272504e-002	8.473726e+000
5.441914864272507e-002	7.324184e+000
5.449914864272509e-002	6.481733e+000
5.457914864272512e-002	6.022592e+000
5.465914864272514e-002	6.010290e+000
5.473914864272517e-002	6.491039e+000
5.481914864272519e-002	7.489602e+000
5.489914864272522e-002	9.005473e+000
5.497914864272524e-002	1.100827e+001
5.505914864272526e-002	1.342633e+001
5.513914864272529e-002	1.604354e+001
5.521914864272531e-002	1.830576e+001
